title,url,instructionalLevel,corpus
IFRIC 13-Customer Loyalty Programmes (Revenue),https://www.udemy.com/ifric-13-customer-loyalty-programmes-revenue/,All Levels,IFRIC 13-Customer Loyalty Programmes (Revenue) ifric 13 customer loyalty programmes revenueBusinessAll Levels
FOREX Currency Trading For Beginners,https://www.udemy.com/forex-currency-trading-for-beginners/,Beginner Level,FOREX Currency Trading For Beginners forex currency trading for beginnersBusinessBeginner Level
Basic Technical Analysis,https://www.udemy.com/basic-technical-analysis/,Beginner Level,Basic Technical Analysis basic technical analysisBusinessBeginner Level
Forex:Trade Management & Psychology,https://www.udemy.com/forexmoney-management-psychology/,Intermediate Level,Forex:Trade Management & Psychology forexmoney management psychologyBusinessIntermediate Level
"Working Capital assessment for bankers, credit analysts",https://www.udemy.com/working-capital-assessment-for-bankers-credit-analysts/,Beginner Level,"Working Capital assessment for bankers, credit analysts working capital assessment for bankers credit analystsBusinessBeginner Level"
"CFA Level I Workshop 6: Alternatives, PM and Economics ",https://www.udemy.com/cfa-workshop-6/,All Levels,"CFA Level I Workshop 6: Alternatives, PM and Economics  cfa workshop 6BusinessAll Levels"
CFA Level I Workshop 3: Financial Reporting & Analysis II,https://www.udemy.com/cfa-workshop-3/,All Levels,CFA Level I Workshop 3: Financial Reporting & Analysis II cfa workshop 3BusinessAll Levels
How to trade in the Forex market,https://www.udemy.com/forex-market/,Intermediate Level,How to trade in the Forex market forex marketBusinessIntermediate Level
Bookkeeping Practicals with Software,https://www.udemy.com/bookkeeping-practical-with-software/,Intermediate Level,Bookkeeping Practicals with Software bookkeeping practical with softwareBusinessIntermediate Level
8 Steps To Achieve Financial Freedom And Escape Debt,https://www.udemy.com/achieve-financial-freedom-and-escape-debt/,Beginner Level,8 Steps To Achieve Financial Freedom And Escape Debt achieve financial freedom and escape debtBusinessBeginner Level
Trading Basics in 30 minutes,https://www.udemy.com/trading-basics-in-30-minutes/,Beginner Level,Trading Basics in 30 minutes trading basics in 30 minutesBusinessBeginner Level
Technical Charting,https://www.udemy.com/technical-charting/,Intermediate Level,Technical Charting technical chartingBusinessIntermediate Level
Profits Turbo,https://www.udemy.com/profits-turbo/,Intermediate Level,Profits Turbo profits turboBusinessIntermediate Level
Nest Egg Investing,https://www.udemy.com/nest-egg-secrets/,Beginner Level,Nest Egg Investing nest egg secretsBusinessBeginner Level
Economics for beginners - Various Concepts,https://www.udemy.com/economics-forms-of-market-and-perfect-competition/,Beginner Level,Economics for beginners - Various Concepts economics forms of market and perfect competitionBusinessBeginner Level
Investing in Stocks & Shares,https://www.udemy.com/making-money-from-stocks-shares/,Beginner Level,Investing in Stocks & Shares making money from stocks sharesBusinessBeginner Level
Learn Financial Modeling from Scratch - Part 2,https://www.udemy.com/learn-financial-modeling-part-2/,All Levels,Learn Financial Modeling from Scratch - Part 2 learn financial modeling part 2BusinessAll Levels
Learn Financial Modeling from Scratch - Part 3,https://www.udemy.com/learn-financial-modeling-part-3/,All Levels,Learn Financial Modeling from Scratch - Part 3 learn financial modeling part 3BusinessAll Levels
A Practical Guide to Wealth Creation,https://www.udemy.com/wealth-creation/,All Levels,A Practical Guide to Wealth Creation wealth creationBusinessAll Levels
"'Geometry Of Chance strategy of defeating the roulette.""",https://www.udemy.com/geometry-of-chance-strategy-of-defeating-the-roulette/,Intermediate Level,"'Geometry Of Chance strategy of defeating the roulette."" geometry of chance strategy of defeating the rouletteBusinessIntermediate Level"
Trading Algorítmico en Forex: Crea tu primer Robot de Forex!,https://www.udemy.com/aprender-programar-mql4-forex/,All Levels,Trading Algorítmico en Forex: Crea tu primer Robot de Forex! aprender programar mql4 forexBusinessAll Levels
MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4,https://www.udemy.com/mql4-bootcamp-tutorial-trading-robot-coding-in-metatrader4/,Beginner Level,MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4 mql4 bootcamp tutorial trading robot coding in metatrader4BusinessBeginner Level
Introducción a la contabilidad,https://www.udemy.com/contabilidad-en-una-hora/,Beginner Level,Introducción a la contabilidad contabilidad en una horaBusinessBeginner Level
Einnahmen aus Udemy-Kursen als Dozent korrekt versteuern,https://www.udemy.com/einnahmen-aus-udemy-kursen-als-dozent-korrekt-versteuern/,Beginner Level,Einnahmen aus Udemy-Kursen als Dozent korrekt versteuern einnahmen aus udemy kursen als dozent korrekt versteuernBusinessBeginner Level
Contabilidad Gubernamental en México,https://www.udemy.com/contabilidad-gubernamental/,All Levels,Contabilidad Gubernamental en México contabilidad gubernamentalBusinessAll Levels
株式投資に必要なスキルの学習手順を学ぶ,https://www.udemy.com/jun-sakai-trading-course1/,Beginner Level,株式投資に必要なスキルの学習手順を学ぶ jun sakai trading course1BusinessBeginner Level
Formação de preços em serviços,https://www.udemy.com/formacao-de-precos-em-servicos/,Intermediate Level,Formação de preços em serviços formacao de precos em servicosBusinessIntermediate Level
"Geld verdienen mit dem Ticken der Uhr, wie Warren Buffett!",https://www.udemy.com/optionen-kompass-ihr-navi-fur-konstanten-borsenerfolg/,All Levels,"Geld verdienen mit dem Ticken der Uhr, wie Warren Buffett! optionen kompass ihr navi fur konstanten borsenerfolgBusinessAll Levels"
Торговля дельта-нейтральными стренглами,https://www.udemy.com/strangles/,All Levels,Торговля дельта-нейтральными стренглами stranglesBusinessAll Levels
Guía práctica para comprar acciones en la Bolsa de USA,https://www.udemy.com/guia-practica-para-comprar-acciones-en-la-bolsa-de-usa/,Intermediate Level,Guía práctica para comprar acciones en la Bolsa de USA guia practica para comprar acciones en la bolsa de usaBusinessIntermediate Level
Contabilidad Financiera: Conoce el Lenguaje de los Negocios.,https://www.udemy.com/curso-de-contabilidad-online-contabilidad-financiera/,Beginner Level,Contabilidad Financiera: Conoce el Lenguaje de los Negocios. curso de contabilidad online contabilidad financieraBusinessBeginner Level
Curso de Day Trader para Iniciantes,https://www.udemy.com/aprenda-a-realizar-trades-na-bolsa-dos-eua/,Beginner Level,Curso de Day Trader para Iniciantes aprenda a realizar trades na bolsa dos euaBusinessBeginner Level
Curso de Iniciación al Trading,https://www.udemy.com/curso-de-iniciacion-al-trading/,All Levels,Curso de Iniciación al Trading curso de iniciacion al tradingBusinessAll Levels
Complete GST Course For Small and Medium Enterprises,https://www.udemy.com/complete-gst-course-for-small-and-medium-enterprises/,Beginner Level,Complete GST Course For Small and Medium Enterprises complete gst course for small and medium enterprisesBusinessBeginner Level
3 documentos clave para administrar tu empresa con éxito,https://www.udemy.com/3-documentos-clave-para-administrar-tu-empresa-con-exito/,Intermediate Level,3 documentos clave para administrar tu empresa con éxito 3 documentos clave para administrar tu empresa con exitoBusinessIntermediate Level
Forex/Opciones Binarias para Principiantes,https://www.udemy.com/forexopciones-binarias-para-principiantes/,Beginner Level,Forex/Opciones Binarias para Principiantes forexopciones binarias para principiantesBusinessBeginner Level
15 Mandamientos para ganar dinero en Bolsa,https://www.udemy.com/15-mandamientos-para-ganar-dinero-en-bolsa/,All Levels,15 Mandamientos para ganar dinero en Bolsa 15 mandamientos para ganar dinero en bolsaBusinessAll Levels
Le bitcoin et la blockchain,https://www.udemy.com/le-bitcoin-et-la-blockchain/,All Levels,Le bitcoin et la blockchain le bitcoin et la blockchainBusinessAll Levels
Contabilità Generale,https://www.udemy.com/contabilita-generale/,All Levels,Contabilità Generale contabilita generaleBusinessAll Levels
Торговля опционами: Как заработать на волатильности,https://www.udemy.com/optiontrading/,All Levels,Торговля опционами: Как заработать на волатильности optiontradingBusinessAll Levels
Estrategias de Inversión aplicadas al mundo del trading,https://www.udemy.com/estrategias-de-inversion/,All Levels,Estrategias de Inversión aplicadas al mundo del trading estrategias de inversionBusinessAll Levels
バイナリーオプション取引,https://www.udemy.com/binaryoptiontrainingprogram/,All Levels,バイナリーオプション取引 binaryoptiontrainingprogramBusinessAll Levels
Caza los Enormes Movimientos del Mercado,https://www.udemy.com/caza-los-enormes-movimientos-del-mercado/,All Levels,Caza los Enormes Movimientos del Mercado caza los enormes movimientos del mercadoBusinessAll Levels
Le basi del trading online,https://www.udemy.com/le-basi-del-trading-online/,Beginner Level,Le basi del trading online le basi del trading onlineBusinessBeginner Level
自分に合った投資信託を見つけよう！,https://www.udemy.com/kabucom_toushin/,Beginner Level,自分に合った投資信託を見つけよう！ kabucom_toushinBusinessBeginner Level
Monatlich Geld anlegen für später!,https://www.udemy.com/monatlich-geld-anlegen/,Beginner Level,Monatlich Geld anlegen für später! monatlich geld anlegenBusinessBeginner Level
Invierte en la Bolsa Mexicana y de USA,https://www.udemy.com/invierte-en-la-bmv/,Beginner Level,Invierte en la Bolsa Mexicana y de USA invierte en la bmvBusinessBeginner Level
Gestão Financeira Para Pequenas e Médias Empresas,https://www.udemy.com/gestao-financeira/,All Levels,Gestão Financeira Para Pequenas e Médias Empresas gestao financeiraBusinessAll Levels
Curso Completo de Bitcoin - Ganhe 0.00005 Bitcoin,https://www.udemy.com/curso-bitcoin/,All Levels,Curso Completo de Bitcoin - Ganhe 0.00005 Bitcoin curso bitcoinBusinessAll Levels
Tudo sobre Investimentos em Renda Fixa,https://www.udemy.com/tudo-sobre-investimentos-em-renda-fixa/,All Levels,Tudo sobre Investimentos em Renda Fixa tudo sobre investimentos em renda fixaBusinessAll Levels
Aprende a invertir sin capital,https://www.udemy.com/aprende-a-invertir-sin-capital/,Beginner Level,Aprende a invertir sin capital aprende a invertir sin capitalBusinessBeginner Level
Apprendre à trader sur le marché du Forex - guide complet,https://www.udemy.com/apprendre-a-trader-sur-le-marche-du-forex-guide-complet/,Beginner Level,Apprendre à trader sur le marché du Forex - guide complet apprendre a trader sur le marche du forex guide completBusinessBeginner Level
Introducción a las Finanzas,https://www.udemy.com/introduccion-a-las-finanzas/,Beginner Level,Introducción a las Finanzas introduccion a las finanzasBusinessBeginner Level
Finanzielle Unabhängigkeit-1: Erste Schritte zur Million,https://www.udemy.com/finanzielle-unabhaengigkeit-1-erste-schritte-zur-million/,Beginner Level,Finanzielle Unabhängigkeit-1: Erste Schritte zur Million finanzielle unabhaengigkeit 1 erste schritte zur millionBusinessBeginner Level
Forex para Principiantes-Ejemplos en VIVO de Trading Real,https://www.udemy.com/forex-espanol/,Beginner Level,Forex para Principiantes-Ejemplos en VIVO de Trading Real forex espanolBusinessBeginner Level
Finanzielle Unabhängigkeit-3 Millionär werden mit Immobilien,https://www.udemy.com/finanzielle-unabhaengigkeit-3-millionaer-werden-mit-immobilien/,Expert Level,Finanzielle Unabhängigkeit-3 Millionär werden mit Immobilien finanzielle unabhaengigkeit 3 millionaer werden mit immobilienBusinessExpert Level
Introduction to Health Financing,https://www.udemy.com/introduction-to-health-financing/,Beginner Level,Introduction to Health Financing introduction to health financingBusinessBeginner Level
Accounting Cycle: Learn the concepts in 60 minutes,https://www.udemy.com/accounting-cycle-in-60-minutes/,All Levels,Accounting Cycle: Learn the concepts in 60 minutes accounting cycle in 60 minutesBusinessAll Levels
Optimize! Make Best Decisions with Microsoft Excel,https://www.udemy.com/optimize/,Expert Level,Optimize! Make Best Decisions with Microsoft Excel optimizeBusinessExpert Level
Understanding The Stock Market: For Beginners,https://www.udemy.com/understanding-the-stock-market-a-beginners-course/,Beginner Level,Understanding The Stock Market: For Beginners understanding the stock market a beginners courseBusinessBeginner Level
CFA® Level 1 2014 – FI,https://www.udemy.com/cfa-level-1-fixed-income/,All Levels,CFA® Level 1 2014 – FI cfa level 1 fixed incomeBusinessAll Levels
9. Sinking Funds,https://www.udemy.com/sinking-funds/,All Levels,9. Sinking Funds sinking fundsBusinessAll Levels
Managerial Accounting - The Ultimate Beginner Course!,https://www.udemy.com/managerial-accounting-the-ultimate-beginner-course/,Beginner Level,Managerial Accounting - The Ultimate Beginner Course! managerial accounting the ultimate beginner courseBusinessBeginner Level
Forex Trading for Beginners Vol 1:A Forex Course Made Simple,https://www.udemy.com/forex-trading-for-beginners-vol-1a-forex-course-made-simple/,Beginner Level,Forex Trading for Beginners Vol 1:A Forex Course Made Simple forex trading for beginners vol 1a forex course made simpleBusinessBeginner Level
Accounting - Basic Costing ,https://www.udemy.com/basic-costing/,Beginner Level,Accounting - Basic Costing  basic costingBusinessBeginner Level
"Double Your Salary With Free, Local, Job Training Courses",https://www.udemy.com/how-to-search-the-internet-to-get-free-training-education/,All Levels,"Double Your Salary With Free, Local, Job Training Courses how to search the internet to get free training educationBusinessAll Levels"
Financial Modeling - Facebook Case Study,https://www.udemy.com/financial-modeling-facebook-case-study_in_excel/,All Levels,Financial Modeling - Facebook Case Study financial modeling facebook case study_in_excelBusinessAll Levels
Understanding Financial Derivatives,https://www.udemy.com/understanding-financial-derivatives/,Intermediate Level,Understanding Financial Derivatives understanding financial derivativesBusinessIntermediate Level
Forex Basics: Learn how to read and analyze Forex charts,https://www.udemy.com/forex-basics-c/,Beginner Level,Forex Basics: Learn how to read and analyze Forex charts forex basics cBusinessBeginner Level
Forex - Help I cant Trade,https://www.udemy.com/forex-help-i-cant-trade/,All Levels,Forex - Help I cant Trade forex help i cant tradeBusinessAll Levels
Start-up financial modeling for non-finance professionals,https://www.udemy.com/start-up-financial-modeling-for-non-finance-professionals/,All Levels,Start-up financial modeling for non-finance professionals start up financial modeling for non finance professionalsBusinessAll Levels
The Fast Route to a Faster Financial Close,https://www.udemy.com/faster-financial-close/,Intermediate Level,The Fast Route to a Faster Financial Close faster financial closeBusinessIntermediate Level
Easy Finance For Startups,https://www.udemy.com/easy-finance-for-startups/,Beginner Level,Easy Finance For Startups easy finance for startupsBusinessBeginner Level
"Excel 4 Accounting & Bookkeeping - Master Date,Time & Text",https://www.udemy.com/excel-4-accounting-bookkeeping-master-date-time-text/,All Levels,"Excel 4 Accounting & Bookkeeping - Master Date,Time & Text excel 4 accounting bookkeeping master date time textBusinessAll Levels"
"Depreciation, Amortization and Depletion",https://www.udemy.com/depreciation-amor/,Intermediate Level,"Depreciation, Amortization and Depletion depreciation amorBusinessIntermediate Level"
Breakeven Analysis and Pricing,https://www.udemy.com/breakeven-analysis-and-pricing/,All Levels,Breakeven Analysis and Pricing breakeven analysis and pricingBusinessAll Levels
Tally ERP Complete Training in Urdu / Hindi,https://www.udemy.com/tally-erp-complete-training-in-urdu/,All Levels,Tally ERP Complete Training in Urdu / Hindi tally erp complete training in urduBusinessAll Levels
Accounting Simplified,https://www.udemy.com/accounting-simplified/,All Levels,Accounting Simplified accounting simplifiedBusinessAll Levels
Series 7: Intermediate Options,https://www.udemy.com/series-7-intermediate-options/,Intermediate Level,Series 7: Intermediate Options series 7 intermediate optionsBusinessIntermediate Level
Accounting and Business Basics,https://www.udemy.com/accounting-and-business-basics/,All Levels,Accounting and Business Basics accounting and business basicsBusinessAll Levels
Corso introduttivo al trading profittevole,https://www.udemy.com/corso-introduttivo-al-trading-profittevole/,Beginner Level,Corso introduttivo al trading profittevole corso introduttivo al trading profittevoleBusinessBeginner Level
Aprende a Ganar Dinero en la Bolsa,https://www.udemy.com/aprende-a-ganar-dinero-en-la-bolsa/,All Levels,Aprende a Ganar Dinero en la Bolsa aprende a ganar dinero en la bolsaBusinessAll Levels
Inversión: Fundamentos del Trading para Principiantes,https://www.udemy.com/dinero-aprende-trading-y-se-exitoso/,Beginner Level,Inversión: Fundamentos del Trading para Principiantes dinero aprende trading y se exitosoBusinessBeginner Level
Gana en la Bolsa con Análisis Técnico,https://www.udemy.com/curso-basico-de-interpretacion-de-la-bolsa-mediante-graficos/,Beginner Level,Gana en la Bolsa con Análisis Técnico curso basico de interpretacion de la bolsa mediante graficosBusinessBeginner Level
Precificação - Calculando valor de venda baseado nos custos,https://www.udemy.com/formacao-de-precos-em-projetos/,All Levels,Precificação - Calculando valor de venda baseado nos custos formacao de precos em projetosBusinessAll Levels
Cómo ganar dinero invirtiendo en bolsa,https://www.udemy.com/como-ganar-dinero-invirtiendo-en-bolsa/,Beginner Level,Cómo ganar dinero invirtiendo en bolsa como ganar dinero invirtiendo en bolsaBusinessBeginner Level
Investiere in Tax Liens-Hohe Zinsen gesetzl. festgeschrieben,https://www.udemy.com/investiere-online-und-erhalte-zinsen-von-25-in-dollar/,All Levels,Investiere in Tax Liens-Hohe Zinsen gesetzl. festgeschrieben investiere online und erhalte zinsen von 25 in dollarBusinessAll Levels
Investimento em Ações,https://www.udemy.com/investimento-em-acoes/,Beginner Level,Investimento em Ações investimento em acoesBusinessBeginner Level
Excelを使ってビジネスシミュレーション：基礎編,https://www.udemy.com/excel-zw/,Beginner Level,Excelを使ってビジネスシミュレーション：基礎編 excel zwBusinessBeginner Level
Estrategias de trading en bolsa,https://www.udemy.com/diferentes-opciones-de-trading-en-bolsa/,All Levels,Estrategias de trading en bolsa diferentes opciones de trading en bolsaBusinessAll Levels
Grundlagen der finanziellen Unabhängigkeit,https://www.udemy.com/grundlagen-der-finanziellen-unabhangigkeit/,All Levels,Grundlagen der finanziellen Unabhängigkeit grundlagen der finanziellen unabhangigkeitBusinessAll Levels
"Wie Du, Dir auch mit kleinen Beträgen ein Vermögen aufbaust",https://www.udemy.com/wie-du-dir-auch-mit-kleinen-betragen-ein-vermogen-aufbaust/,All Levels,"Wie Du, Dir auch mit kleinen Beträgen ein Vermögen aufbaust wie du dir auch mit kleinen betragen ein vermogen aufbaustBusinessAll Levels"
Corporate Ethics,https://www.udemy.com/corporate-ethics/,Beginner Level,Corporate Ethics corporate ethicsBusinessBeginner Level
Core Financial Statement Concepts,https://www.udemy.com/financial-statement-concepts/,Intermediate Level,Core Financial Statement Concepts financial statement conceptsBusinessIntermediate Level
Understand Core Finance Principles in 60 Minutes,https://www.udemy.com/core-finance-principles-in-60-minutes/,Beginner Level,Understand Core Finance Principles in 60 Minutes core finance principles in 60 minutesBusinessBeginner Level
Learn Wave accounting to maintain books properly,https://www.udemy.com/learn-wave-accounting-to-maintain-books-properly/,All Levels,Learn Wave accounting to maintain books properly learn wave accounting to maintain books properlyBusinessAll Levels
Making Tax Digital - UK HMRC Legislation Explained,https://www.udemy.com/making-tax-digital/,All Levels,Making Tax Digital - UK HMRC Legislation Explained making tax digitalBusinessAll Levels
Surviving Introduction to Finance,https://www.udemy.com/surviving-introduction-to-finance/,Beginner Level,Surviving Introduction to Finance surviving introduction to financeBusinessBeginner Level
Cost of Capital and Weighted Average Cost of Capital,https://www.udemy.com/weighted-average-cost-of-capital-wacc/,All Levels,Cost of Capital and Weighted Average Cost of Capital weighted average cost of capital waccBusinessAll Levels
Studying the CFA Program exams (Mandarin language version),https://www.udemy.com/studying-the-cfa-mandarin/,All Levels,Studying the CFA Program exams (Mandarin language version) studying the cfa mandarinBusinessAll Levels
Condor Broken Wing Butterfly Options Trading Course System,https://www.udemy.com/condor-broken-wing-butterfly-options-trading-course-system/,All Levels,Condor Broken Wing Butterfly Options Trading Course System condor broken wing butterfly options trading course systemBusinessAll Levels
≪虎の巻≫証券取引の「税金のお悩み」解消,https://www.udemy.com/kabucom_zeise/,Intermediate Level,≪虎の巻≫証券取引の「税金のお悩み」解消 kabucom_zeiseBusinessIntermediate Level
【１日でマスター！】今日からはじめる資産形成,https://www.udemy.com/kabucom_start/,Beginner Level,【１日でマスター！】今日からはじめる資産形成 kabucom_startBusinessBeginner Level
TRADING FOR A LIVING: Trading Full-Time Transition Guide,https://www.udemy.com/trading-for-a-living-full-time-trader/,Intermediate Level,TRADING FOR A LIVING: Trading Full-Time Transition Guide trading for a living full time traderBusinessIntermediate Level
Learn How To use Channels to find amazing Forex Entries,https://www.udemy.com/learn-how-to-use-channels-to-find-amazing-forex-entries/,All Levels,Learn How To use Channels to find amazing Forex Entries learn how to use channels to find amazing forex entriesBusinessAll Levels
"Financial Analysis, from Scratch to Professional!",https://www.udemy.com/financial-analysis-from-scratch-to-professional-level/,Beginner Level,"Financial Analysis, from Scratch to Professional! financial analysis from scratch to professional levelBusinessBeginner Level"
Cost Accounting Labour Costing (Professional Course Level),https://www.udemy.com/labour-costing/,All Levels,Cost Accounting Labour Costing (Professional Course Level) labour costingBusinessAll Levels
Learn How To Successfully Trade Forex: In 5 Simple Steps,https://www.udemy.com/learn-how-to-successfully-trade-forex-in-5-simple-steps/,All Levels,Learn How To Successfully Trade Forex: In 5 Simple Steps learn how to successfully trade forex in 5 simple stepsBusinessAll Levels
The Intelligent Investor,https://www.udemy.com/the-intelligent-investor/,All Levels,The Intelligent Investor the intelligent investorBusinessAll Levels
Succeed in Futures Even if You Don't Know Where to Start,https://www.udemy.com/succeed-in-futures-even-if-you-dont-know-where-to-start/,All Levels,Succeed in Futures Even if You Don't Know Where to Start succeed in futures even if you dont know where to startBusinessAll Levels
Binary Options Beginners Guide : Nadex,https://www.udemy.com/binary-options/,Beginner Level,Binary Options Beginners Guide : Nadex binary optionsBusinessBeginner Level
Trading: From Wall Street to Your Street,https://www.udemy.com/from-wall-street-to-your-street/,Intermediate Level,Trading: From Wall Street to Your Street from wall street to your streetBusinessIntermediate Level
Build your own Naked Trading Forex Robot,https://www.udemy.com/build-your-own-naked-trading-forex-robot/,All Levels,Build your own Naked Trading Forex Robot build your own naked trading forex robotBusinessAll Levels
Tax Preparation: Learn Fast! Prepare Taxes with Confidence!,https://www.udemy.com/taxpreparation/,All Levels,Tax Preparation: Learn Fast! Prepare Taxes with Confidence! taxpreparationBusinessAll Levels
Tax Strategies of the Wealthy,https://www.udemy.com/everything-you-need-to-know-about-taxes/,Beginner Level,Tax Strategies of the Wealthy everything you need to know about taxesBusinessBeginner Level
The Ultimate Fibonacci Trading Plan for Forex and Stocks,https://www.udemy.com/fibonacci-trading-strategy/,All Levels,The Ultimate Fibonacci Trading Plan for Forex and Stocks fibonacci trading strategyBusinessAll Levels
Finance and Accounting for Startups,https://www.udemy.com/finance-and-accounting-for-startups/,All Levels,Finance and Accounting for Startups finance and accounting for startupsBusinessAll Levels
Forex - Calculate Lot Size Like Pro,https://www.udemy.com/forex-calculate-lot-size-like-pro/,All Levels,Forex - Calculate Lot Size Like Pro forex calculate lot size like proBusinessAll Levels
The Complete Forex Trader,https://www.udemy.com/forextrader/,All Levels,The Complete Forex Trader forextraderBusinessAll Levels
Tape Reading: Learn how to read the tape for day trading,https://www.udemy.com/tape-reading-101-learn-how-to-read-the-tape-for-day-trading/,All Levels,Tape Reading: Learn how to read the tape for day trading tape reading 101 learn how to read the tape for day tradingBusinessAll Levels
4 Easy Daily Forex Trades: A Recipe for Trading Success,https://www.udemy.com/4dailytrades/,All Levels,4 Easy Daily Forex Trades: A Recipe for Trading Success 4dailytradesBusinessAll Levels
Trading Robot Forex Programs in Your Sleep in Live Examples!,https://www.udemy.com/trading-robot-forex-programs-in-your-sleep-in-live-examples/,Expert Level,Trading Robot Forex Programs in Your Sleep in Live Examples! trading robot forex programs in your sleep in live examplesBusinessExpert Level
Free Options 101 - Basic of Call and Put Options in 1 Hours,https://www.udemy.com/free-options-101-basic-of-call-and-put-options-in-1-hours/,All Levels,Free Options 101 - Basic of Call and Put Options in 1 Hours free options 101 basic of call and put options in 1 hoursBusinessAll Levels
An Intro into Trading the Financial Markets,https://www.udemy.com/an-intro-into-trading-the-financial-markets/,Beginner Level,An Intro into Trading the Financial Markets an intro into trading the financial marketsBusinessBeginner Level
Developing A Trading Strategy: Your Guide to Trading Success,https://www.udemy.com/developing-a-trading-strategy-your-guide-to-making-millions/,All Levels,Developing A Trading Strategy: Your Guide to Trading Success developing a trading strategy your guide to making millionsBusinessAll Levels
How to Trade Commodity and Financial Futures for a Living!,https://www.udemy.com/trading-controlled-leverage-financial-and-commodity-futures/,All Levels,How to Trade Commodity and Financial Futures for a Living! trading controlled leverage financial and commodity futuresBusinessAll Levels
How to Trade Forex like a Hedge Fund: Long FX Strategies,https://www.udemy.com/how-to-trade-forex-like-a-hedge-fund/,All Levels,How to Trade Forex like a Hedge Fund: Long FX Strategies how to trade forex like a hedge fundBusinessAll Levels
Complete Short Financial Ratio Course for Financial Analysis,https://www.udemy.com/financialratio/,All Levels,Complete Short Financial Ratio Course for Financial Analysis financialratioBusinessAll Levels
How to Build Profitable FOREX Automated Trading Strategies!,https://www.udemy.com/how-to-build-profitable-automated-trading-strategies/,All Levels,How to Build Profitable FOREX Automated Trading Strategies! how to build profitable automated trading strategiesBusinessAll Levels
Stock Trading Strategies: Profitable Trading in 7 Days.,https://www.udemy.com/stock-trading-strategies-the-trading-plan-formula/,All Levels,Stock Trading Strategies: Profitable Trading in 7 Days. stock trading strategies the trading plan formulaBusinessAll Levels
Management Accounting A Complete Study,https://www.udemy.com/management-accounting-a-complete-study/,All Levels,Management Accounting A Complete Study management accounting a complete studyBusinessAll Levels
Become a Career Day Trader: Asian-Pacific Futures Markets,https://www.udemy.com/become-a-career-day-trader/,All Levels,Become a Career Day Trader: Asian-Pacific Futures Markets become a career day traderBusinessAll Levels
Equity Products,https://www.udemy.com/equity-products/,All Levels,Equity Products equity productsBusinessAll Levels
Financial Accounting Part I - Passing the Class,https://www.udemy.com/severson-financial-accounting-part-one/,Beginner Level,Financial Accounting Part I - Passing the Class severson financial accounting part oneBusinessBeginner Level
Accounting 102: Guide to Business Accounting,https://www.udemy.com/accounting-skills-a-businessman-must-haveintermediate-level/,Intermediate Level,Accounting 102: Guide to Business Accounting accounting skills a businessman must haveintermediate levelBusinessIntermediate Level
Monetizing Your Website: How to Add Cost-Per-Action (CPA) ,https://www.udemy.com/monetizing-your-website-how-to-add-cost-per-action-cpa/,All Levels,Monetizing Your Website: How to Add Cost-Per-Action (CPA)  monetizing your website how to add cost per action cpaBusinessAll Levels
Advanced Finance and Accounting for Startups,https://www.udemy.com/advanced-finance-and-accounting-for-startups/,Intermediate Level,Advanced Finance and Accounting for Startups advanced finance and accounting for startupsBusinessIntermediate Level
Basics of Tax in India  (College Level),https://www.udemy.com/basics-of-indian-income-tax/,All Levels,Basics of Tax in India  (College Level) basics of indian income taxBusinessAll Levels
Trade for a Living,https://www.udemy.com/trade-for-a-living/,All Levels,Trade for a Living trade for a livingBusinessAll Levels
Learn Stock Options: Options Made Simple 101,https://www.udemy.com/learn-to-trade-stock-options-options-made-simple/,Beginner Level,Learn Stock Options: Options Made Simple 101 learn to trade stock options options made simpleBusinessBeginner Level
Banking Credit Analysis Process (for Bankers),https://www.udemy.com/credit-analysis-process/,Beginner Level,Banking Credit Analysis Process (for Bankers) credit analysis processBusinessBeginner Level
Professional Forex strategy,https://www.udemy.com/beginner-trading-forex-strategy/,Expert Level,Professional Forex strategy beginner trading forex strategyBusinessExpert Level
A Beginners Guide to Technical Analysis of Stock Charts,https://www.udemy.com/beginners-guide-to-technical-analysis/,Beginner Level,A Beginners Guide to Technical Analysis of Stock Charts beginners guide to technical analysisBusinessBeginner Level
Get out of Debt - The Power of Using Compounding Interest,https://www.udemy.com/get-out-of-debt-the-power-of-using-compounding-interest/,All Levels,Get out of Debt - The Power of Using Compounding Interest get out of debt the power of using compounding interestBusinessAll Levels
Day Trading - Learn to Day Trade / Swing Trade In One Hour.,https://www.udemy.com/the-123-trading-strategy-learn-to-trade-in-one-hour/,All Levels,Day Trading - Learn to Day Trade / Swing Trade In One Hour. the 123 trading strategy learn to trade in one hourBusinessAll Levels
Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified,https://www.udemy.com/basel_norms_simplified/,Beginner Level,Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified basel_norms_simplifiedBusinessBeginner Level
Learn to Trade Forex Naked Price Action Wammie Trade,https://www.udemy.com/learn-to-trade-forex-naked-price-action-wammie-trade/,All Levels,Learn to Trade Forex Naked Price Action Wammie Trade learn to trade forex naked price action wammie tradeBusinessAll Levels
Fixed Income Securities,https://www.udemy.com/fixed-income-securities/,All Levels,Fixed Income Securities fixed income securitiesBusinessAll Levels
